1,274263,178949,418603,822833,548204,113595,186753_398805_691670_36822_89318_84252_12974_36261_30403_3973_12909_10364_1407_4758_3837_496_1695_1350_196_704_554_93_333_261_34_109_87_13_49_36_3_12_9_4_8_9_1_2_1
1,9,286132,7,12,12,0,3_7_12
1,39,22,14,40,0,0,10_14_40
1,65,30,60,224,224,0,56_60_224
1,65177,32100,18,39,0,0,13_18_38_2_2_1
1,108,953955,44,160,160,0,40_44_160
1,116,685479,5,4,4,1,1_5_4
1,174,119910,5,4,4,0,1_5_4
1,205,76,46,168,168,0,42_46_168
1,252,108,13,36,0,0,9_13_36
1,257,109,70,264,264,0,66_70_264
1,262,110,27,98,0,0,23_27_92_4_4_6
1,330,147,6,8,8,0,2_6_8
1,378,174,17,52,0,0,13_17_52
1,398,177,8,16,16,0,4_8_16
1,456,203,65,244,244,244,61_65_244
1,461,204,16,48,48,0,12_16_48
1,521,725783,13,36,36,36,9_13_36
1,532,237,50,184,184,0,46_50_184
1,547,240,29,100,100,0,25_29_100
1,566,249,13,36,0,0,9_13_36
1,601,266,75,284,284,0,71_75_284
1,613,1315385,5,4,4,4,1_5_4
1,643,290,23,76,76,0,19_23_76
1,653,293,8,16,16,16,4_8_16
1,702,321,38,136,0,0,34_38_136
1,859,382,12,32,0,0,8_12_32
1,913,848289,7,12,12,0,3_7_12
1,934,897453,8,16,16,0,4_8_16
1,992,453,6,8,8,8,2_6_8
1,997,454,14,40,40,0,10_14_40
1,1030,483,17,52,52,0,13_17_52
1,1076,204727,29,100,100,0,25_29_100
1,1116,511,9,20,0,0,5_9_20
1,1138,517,9,20,20,0,5_9_20
1,1143,520,19,60,60,0,15_19_60
1,1188,560,8,16,0,0,8_8_16
1,1415,713,49,180,180,0,45_49_180
1,1545,1266357,5,4,4,3,1_5_4
1,1564,751,10,24,24,24,6_10_24
1,1594,1105549,17,52,52,0,13_17_52
1,1604,772,42,152,152,0,38_42_152
1,1684,129041,6,8,8,0,2_6_8
1,1788,858,14,40,40,0,10_14_40
1,1812,1558403,6,8,8,8,2_6_8
1,1816,864,9,20,20,0,5_9_20
1,1822,626455,13,36,36,0,9_13_36
1,1881,888,17,52,52,0,13_17_52
1,1903,896,20,64,0,0,16_20_64
1,1933,943,43,156,0,0,39_43_156
1,1955,966272,6,8,8,8,2_6_8
1,1960,195340,17,52,52,0,13_17_52
1,1965,958,44,160,160,0,40_44_160
1,1981,979,49,180,180,0,45_49_180
1,2226,431733,33,116,116,0,29_33_116
1,2242,1141,39,139,0,0,35_39_139
1,2302,1170,26,87,0,0,22_26_87
1,2416,1197,44,160,160,0,40_44_160
1,2448,1204,36,128,128,0,32_36_128
1,2460,1333270,5,4,4,3,1_5_4
1,2546,1256,10,24,0,0,6_10_24
1,2579,1265,10,24,24,24,6_10_24
1,2593,246657,10,24,24,0,6_10_24
1,2638,744277,7,12,2,1,3_5_9_2_4_3
1,2640,1312,17,52,0,0,13_17_52
1,2645,1316,5,4,4,0,1_5_4
1,2807,195481,6,8,8,0,2_6_8
1,2811,1396,20,64,64,0,16_20_64
1,2862,1413,13,36,36,0,9_13_36
1,2878,1429,5,10,0,0,5_5_10
1,2951,1482,5,4,4,4,1_5_4
1,2987,97656,9,20,20,0,5_9_20
1,3083,608856,5,4,4,0,1_5_4
1,3225,1585,7,12,12,12,3_7_12
1,3296,58230,47,172,172,0,43_47_172
1,3359,1668,20,64,64,0,16_20_64
1,3374,1686,13,36,36,36,9_13_36
1,3411,1710,5,4,4,4,1_5_4
1,3463,1744,17,52,0,0,13_17_52
1,3503,1773,5,4,4,4,1_5_4
1,3529,1783,6,8,8,2,2_6_8
1,3546,1791,60,224,224,0,56_60_224
1,3574,1193346,5,4,4,3,1_5_4
1,3753,1859,13,36,36,0,9_13_36
1,3769,1860,74,280,0,0,70_74_280
1,3815,1870,5,4,4,4,1_5_4
1,3897,1917,19,60,60,0,15_19_60
1,3912,1929,31,108,108,0,27_31_108
1,3930,1938,5,4,4,1,1_5_4
1,3938,1940,5,4,4,3,1_5_4
1,3999,1964,5,4,4,4,1_5_4
1,4059,287850,5,4,4,4,1_5_4
1,4076,1996,9,20,0,0,5_9_20
1,4179,2036,8,16,0,0,8_8_16
1,4184,2037,9,20,0,0,5_9_20
1,4226,2047,10,24,24,0,6_10_24
1,4281,480646,5,4,4,0,1_5_4
1,4523,2164,65,244,0,0,61_65_244
1,4585,2192,35,124,0,0,31_35_124
1,4718,2278,13,36,36,0,9_13_36
1,4938,2394,9,23,1,1,4_8_16_3_4_6_1_2_1
1,4958,2402,27,92,92,0,23_27_92
1,4968,2405,51,188,188,0,47_51_188
1,5004,681216,18,56,56,0,14_18_56
1,5030,2428,8,16,16,0,4_8_16
1,5150,2491,9,20,20,0,5_9_20
1,5211,2514,30,104,104,0,26_30_104
1,5221,2520,13,36,36,0,9_13_36
1,5275,2549,10,24,0,0,6_10_24
1,5302,2555,29,100,100,0,25_29_100
1,5366,2573,5,4,4,0,1_5_4
1,5414,2582,10,24,24,0,6_10_24
1,5424,2592,15,44,44,44,11_15_44
1,5459,674592,5,4,4,2,1_5_4
1,5512,2638,33,116,116,0,29_33_116
1,5517,2654,32,112,0,0,28_32_112
1,5572,2667,10,21,1,1,5_9_20_1_2_1
1,5581,2669,5,10,0,0,5_5_10
1,67986,33563,29,86,0,0,20_29_79_4_5_7
1,5661,2703,9,8,8,6,2_9_8
1,5718,2745,21,68,0,0,17_21_68
1,5777,2764,47,172,172,0,43_47_172
1,5833,2799,15,41,1,1,9_13_36_4_5_4_1_2_1
1,5880,434797,10,24,24,0,6_10_24
1,5894,2827,12,38,0,0,8_12_32_4_4_6
1,5902,705150,9,20,20,0,5_9_20
1,6100,2901,5,10,0,0,5_5_10
1,6329,3022,13,36,0,0,9_13_36
1,6445,3075,5,4,4,3,1_5_4
1,6461,3078,19,60,60,60,15_19_60
1,6512,3099,9,20,0,0,5_9_20
1,6551,3116,52,192,192,0,48_52_192
1,6577,3123,5,10,0,0,5_5_10
1,6607,3135,66,248,248,0,62_66_248
1,6675,1711296,5,4,4,2,1_5_4
1,6820,3215,18,56,56,0,14_18_56
1,6873,7543,6,8,8,0,2_6_8
1,7208,3394,7,12,12,3,3_7_12
1,7267,3428,5,4,4,0,1_5_4
1,7290,417593,5,4,4,4,1_5_4
1,7300,3447,5,4,4,4,1_5_4
1,7344,742552,50,184,184,0,46_50_184
1,7379,3483,8,16,16,0,4_8_16
1,7399,1395181,49,180,180,0,45_49_180
1,7493,897861,5,4,4,4,1_5_4
1,7494,922624,5,4,4,4,1_5_4
