1,1192,1,736456
1,42864,1,1376472
1,85858,1,1097867
1,99870,1,1376472
1,155771,1,1376472
1,347255,1,736456
1,389007,1,1124071
1,457996,1,736456
1,481157,1,1124071
1,509864,1,1124071
1,511232,1,736456
1,736456,0,11
1,869516,1,1097867
1,881463,1,1124071
1,899441,1,1097867
1,941340,1,1376472
1,948900,1,736456
1,1004575,1,1376472
1,1007991,1,1522961
1,1063419,1,1124071
1,1097867,0,6
1,1124071,0,27
1,1189368,1,1124071
1,1351102,1,736456
1,1376472,0,44
1,1522961,0,2
1,1589792,1,1097867
1,1737995,1,1097867
1,1749522,1,1376472
1,1842895,1,1376472
1,1859454,1,1376472
1,1909158,1,1124071
2,72018,2,153564
2,115929,2,1724230
2,125325,2,153564
2,153564,0,49
2,173571,2,716628
2,183241,2,1724230
2,216173,2,716628
2,350356,2,1724230
2,371088,0,1
2,515643,2,153564
2,546025,2,153564
2,577282,2,1724230
2,716628,0,6
2,761411,2,716628
2,790833,2,153564
2,805709,2,153564
2,925423,2,716628
2,950647,2,153564
2,988388,2,716628
2,1038300,2,1724230
2,1045845,2,153564
2,1054674,2,1724230
2,1373851,2,1724230
2,1724230,0,23
3,9146,3,301454
3,40003,3,301454
3,49012,3,301454
3,61055,0,1
3,117801,3,301454
3,132948,3,1341272
3,167785,3,1341272
3,223253,3,1341272
3,225174,3,1341272
3,239852,3,301454
3,259332,0,1
3,301454,0,92
3,365668,3,1341272
3,584519,3,1341272
3,591191,3,301454
3,633612,3,301454
3,637161,3,301454
3,700911,3,1341272
3,777081,3,1341272
3,841671,3,1341272
3,1245580,3,301454
3,1341272,0,115
4,42952,4,327079
4,60093,4,799380
4,116640,4,799380
4,136422,4,799380
4,165687,4,327079
4,173273,4,327079
4,215334,4,327079
4,245620,4,799380
4,252631,4,799380
4,289841,4,799380
4,306155,0,1
4,314746,4,327079
4,327079,0,72
4,338617,4,327079
4,557660,4,327079
4,596632,4,799380
4,799380,0,41
4,843667,4,327079
4,996435,4,799380
4,1388949,4,327079
5,27490,5,143171
5,115846,5,374226
5,119822,5,430620
5,143171,0,75
5,158111,5,430620
5,162195,5,430620
5,175320,0,1
5,228660,5,143171
5,231872,5,143171
5,282228,5,143171
5,286137,5,430620
5,365919,5,430620
5,374226,0,2
5,414157,5,430620
5,415327,5,143171
5,420410,0,1
5,430620,0,220
5,437236,5,143171
5,462349,5,430620
5,464189,5,143171
5,650488,5,430620
5,724766,5,430620
5,889700,5,143171
5,918716,5,143171
5,1490400,5,430620
6,14351,0,1
6,57702,0,11
6,59610,6,1405661
6,70339,6,57702
6,132382,0,1
6,154017,6,1405661
6,168199,6,1405661
6,175980,6,1405661
6,183932,6,1405661
6,221470,6,1405661
6,246804,6,57702
6,285239,6,57702
6,358474,6,57702
6,433468,6,57702
6,467556,6,1405661
6,553793,6,1405661
6,1087823,6,57702
6,1405661,0,50
7,8320,7,260729
7,12914,7,194157
7,17172,7,260729
7,38123,7,260729
7,40037,7,194157
7,48503,7,260729
7,138183,7,194157
7,152217,7,194157
7,169617,7,260729
7,194157,0,11
7,204572,7,260729
7,208944,0,16
7,240844,7,260729
7,260729,0,142
7,267555,7,260729
7,269395,7,208944
7,279064,7,194157
7,280164,7,208944
7,379599,7,208944
7,410589,7,208944
7,440032,7,208944
7,456992,7,260729
7,460140,7,194157
7,468734,0,1
7,485011,7,208944
7,581383,0,1
7,799737,7,260729
8,11912,8,295493
8,18911,8,22889
8,22889,0,117
8,35455,8,295493
8,65928,8,22889
8,70910,8,295493
8,77461,8,295493
8,92400,0,5
8,106752,0,1
8,122157,8,22889
8,145571,8,22889
8,162806,8,22889
8,200776,8,22889
8,204456,8,295493
8,242251,8,92400
8,247944,8,22889
8,295493,0,22
8,324484,8,92400
8,410555,8,295493
8,430549,8,22889
8,456246,8,22889
8,488688,8,92400
8,501233,8,295493
8,802357,8,92400
9,6555,9,360031
9,20456,9,145132
9,42033,9,145132
9,47084,9,360031
9,61703,9,145132
9,73916,9,360031
9,145132,0,97
9,162243,9,360031
9,163049,9,360031
9,228267,9,145132
9,235373,0,1
9,240548,9,145132
9,249751,9,145132
9,276914,9,145132
9,279374,9,360031
9,287960,9,145132
9,321808,0,1
9,354062,9,360031
9,360031,0,27
9,524694,9,145132
10,18822,10,195248
10,29779,10,195248
10,47107,10,195248
10,56029,10,195248
10,154274,10,371570
10,189124,10,371570
10,195248,0,9
10,209980,10,371570
10,214404,0,1
10,238335,10,195248
10,258082,10,371570
10,338353,10,371570
10,368258,10,195248
10,371570,0,64
10,409293,10,371570
10,479019,10,371570
10,496797,10,371570
11,23806,11,677020
11,34816,11,298134
11,61885,11,298134
11,83064,11,298134
11,121174,11,298134
11,125485,11,298134
11,148728,11,677020
11,153137,11,298134
11,189687,11,677020
11,197712,11,677020
11,216897,11,298134
11,242457,11,677020
11,298134,0,25
11,348225,0,1
11,677020,0,11
11,740419,11,677020
12,54212,12,259668
12,60144,12,72659
12,61995,12,72659
12,72659,0,5
12,121538,12,259668
12,136007,12,72659
12,176595,12,259668
12,219108,12,72659
12,256245,12,259668
12,259668,0,8
12,451313,12,259668
13,38465,13,364950
13,44203,13,364950
13,62638,13,364950
13,64784,0,1
13,176264,13,364950
13,364950,0,8
13,625024,13,364950
14,17935,14,275258
14,87117,14,275258
14,116564,0,1
14,275258,0,3
16,3185,0,1
21,159176,0,1
24,214637,0,1
